Mv,s,c,T,f,Ssw,s_real,s_imag,HQR_real,HQR_imag,WYR_real,WYR_imag,MAB_real,MAB_imag,angle,rms,cl,HH1,HH2,HH3,VV1,VV2,VV3,HV1,HV2,HV3,VH1,VH2,VH3
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,4,-9.29890553718847,-13.932926931316,-9.98106860859669,-7.94330148418222,-10.6047569757788,-7.88738622678774,-106.079717563051,-109.591200361621,-106.355210812511,-106.079717817036,-109.591201036804,-106.35521122456
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,4.5,-9.39822372860325,-13.4636119555193,-9.72997496539382,-8.37225228494696,-10.4919156160746,-8.01621766154719,-106.356540259846,-109.332450633472,-106.315697087492,-106.35654044039,-109.332451234056,-106.315697417373
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,5,-9.76011769968159,-13.1302176938857,-9.69311249432646,-8.95741844654998,-10.4263069572438,-8.26719759659525,-106.8377281768,-109.155012040793,-106.436777014984,-106.837728305579,-109.155012584655,-106.436777281469
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,1,-20.3073581789775,-26.3457419852448,-21.6481773141744,-15.6710948365288,-21.1723240116166,-16.7860226355027,-115.161417160569,-120.857101749924,-116.359136773481,-115.161418117051,-120.857102812357,-116.35913777447
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,1.5,-17.0383403378295,-23.1481609393809,-18.3664561553149,-12.7478794344633,-17.9744634264405,-13.9501706711828,-112.108785166423,-117.65934978875,-113.358520267493,-112.10878605426,-117.659350851182,-113.358521180448
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,2,-14.0849367926533,-21.0204456860517,-15.5184462738768,-10.9462551700406,-16.0967701230985,-12.0948941007579,-109.852470932354,-115.691990560313,-111.116944790188,-109.8524715873,-115.691991573987,-111.116945503402
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,2.5,-11.9937172405563,-19.4867771997615,-13.3671793803636,-9.74979480067455,-15.026464660703,-10.7870527620464,-108.277360898198,-114.451097148883,-109.459509443047,-108.277361368244,-114.451098071224,-109.459509982981
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,3,-10.5371376903727,-17.7575178288852,-11.8132384499217,-8.93667455466126,-14.1767649583342,-9.83888769945998,-107.17797467894,-113.261563429689,-108.247934450893,-107.17797501439,-113.261564175496,-108.247934864749
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,3.5,-9.55022560848629,-16.3570237996449,-10.6809653175137,-8.40254935792599,-13.4920865070949,-9.15197803968957,-106.435358009573,-112.284595993521,-107.360738779051,-106.435358249677,-112.284596592909,-107.36073909952
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,4,-8.91831491618288,-15.3032233704799,-9.86382633561051,-8.09144883133052,-12.9359443844331,-8.66786835851916,-105.97300805447,-111.516810050161,-106.723177953996,-105.973008226738,-111.51681054653,-106.723178204303
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,4.5,-8.56509566401576,-14.4893066237241,-9.29221391191839,-7.96768634649417,-12.4822433633885,-8.34854758348761,-105.739283291081,-110.905562497044,-106.285511117222,-105.73928341467,-110.90556291831,-106.2855113142
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.1,5,-8.43883088833214,-13.8493562084238,-8.91807847812267,-8.00579801705779,-12.1114292347165,-8.16753734954427,-105.697726597445,-110.41463936257,-106.012694432492,-105.697726686037,-110.41463972746,-106.012694588535
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,1,-20.3768609634712,-30.5349177901937,-22.0952884687211,-18.7294075816206,-25.7433795877379,-20.1577261772073,-116.991545987865,-125.29037947832,-118.550010973207,-116.991546335285,-125.290380467115,-118.550011381359
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,1.5,-16.8177411933562,-27.1105112504582,-18.4087839817322,-15.4505130202493,-22.8094491122371,-16.8695319962456,-113.58466057788,-122.173939525316,-115.08251528731,-113.584660866456,-122.173940417129,-115.08251561203
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,2,-14.3480349406563,-24.0407880944189,-15.8575788522118,-13.2607318464071,-20.7569514192158,-14.6310271928767,-111.264784408673,-119.722050110144,-112.700075069524,-111.264784638317,-119.722050796713,-112.700075328502
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,2.5,-12.5296444518158,-21.6562212764855,-13.9613698576023,-11.6858390830513,-19.190634275297,-12.9827744757749,-109.574900621151,-117.813655321537,-110.935699468849,-109.574900799433,-117.813655839664,-110.935699675576
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,3,-11.1612706857181,-19.8570790601322,-12.5018191552102,-10.5152236319545,-17.9387330965208,-11.7204803542284,-108.309642733224,-116.322458500139,-109.579767366345,-108.309642869739,-116.322458904312,-109.579767531441
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,3.5,-10.1282877491774,-18.4450464162577,-11.3595680766464,-9.63822569092405,-16.9099190110199,-10.7352693340681,-107.357202038635,-115.121009418165,-108.519210907425,-107.357202142179,-115.121009742056,-108.519211039347
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,4,-9.35824137213563,-17.3064060033709,-10.4613712496764,-8.98951844989523,-16.049019230135,-9.96209505584984,-106.649325655603,-114.132372245474,-107.685546534602,-106.649325733485,-114.132372510979,-107.685546640097
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,4.5,-8.80241314594521,-16.37010251275,-9.75858292597718,-8.52699481870012,-15.31961454528,-9.35883561705626,-106.141016324973,-113.306377115159,-107.033810946523,-106.141016383115,-113.306377337081,-107.033811030969
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,2.6,5,-8.4262386985726,-15.5888835657282,-9.21699789385951,-8.22173651224783,-14.6960874907379,-8.89649890010134,-105.800792074587,-112.608408048054,-106.532672704528,-105.80079211772,-112.608408236715,-106.53267277221
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,1,-21.021034622114,-31.9095971197435,-22.6465265781202,-20.7006501493735,-30.3835819590729,-22.2777586190117,-118.336739814503,-128.590507303594,-119.937560415231,-118.336739882278,-128.59050762563,-119.937560493238
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,1.5,-17.5826966239288,-28.1765060114812,-19.1689633623319,-17.2997172168861,-26.9953783364654,-18.8492641146434,-114.917428988708,-125.0432629796,-116.485017467611,-114.917429048571,-125.04326322911,-116.48501753524
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,2,-15.2084466806939,-25.5545599757858,-16.7481865971581,-14.9666057621799,-24.6193622497988,-16.4740767591854,-112.564058866593,-122.551759488473,-114.087424812479,-112.564058917754,-122.551759686144,-114.087424870466
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,2.5,-13.4388801949133,-23.5541231961508,-14.9219557442419,-13.2371402320371,-22.8007775733292,-14.6892017562347,-110.814798753012,-120.64666241518,-112.282173421082,-110.81479879569,-120.646662574466,-112.282173470321
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,3,-12.0693815347892,-21.953680964728,-13.4841938804498,-11.9042191107921,-21.3378036648055,-13.2881587454248,-109.463781938782,-119.117660582099,-110.862997483519,-109.463781973722,-119.117660712346,-110.862997524991
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,3.5,-10.9903357566773,-20.6332409977234,-12.3246328543244,-10.857228477552,-20.122998685176,-12.1606278469168,-108.400901301302,-117.851748743529,-109.719617431658,-108.400901329461,-117.851748851451,-109.719617466353
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,3.1,4,-10.1358311247792,-19.5201308195055,-11.3770710130316,-10.0300176584652,-19.0921932659056,-11.2406112107127,-107.560137419962,-116.780901462489,-108.785947274693,-107.560137442346,-116.78090155301,-108.785947303561
